newick	prob	novel
(E,(D,(C,(B,A))))	0.375101562500	0
((E,D),(C,(B,A)))	0.00774256490200	1
(D,(E,(C,(B,A))))	0.00774256490200	1
(D,((E,C),(B,A)))	6.64236135864e-05	2
(D,(C,(E,(B,A))))	6.64236135864e-05	2
(D,(C,((E,B),A)))	5.41356988651e-07	3
(D,(C,(B,(E,A))))	5.41356988651e-07	3
(E,((D,C),(B,A)))	0.112812500000	0
((E,(D,C)),(B,A))	0.00815006831790	1
(((E,D),C),(B,A))	6.64236135864e-05	2
((D,(E,C)),(B,A))	6.64236135864e-05	2
((D,C),(E,(B,A)))	0.00815006831790	1
((D,C),((E,B),A))	6.64236135864e-05	2
((D,C),(B,(E,A)))	6.64236135864e-05	2
(E,(C,(D,(B,A))))	0.0221944423074	1
((E,C),(D,(B,A)))	6.64236135864e-05	2
(C,(E,(D,(B,A))))	6.64236135864e-05	2
(C,((E,D),(B,A)))	6.64236135864e-05	2
(C,(D,(E,(B,A))))	6.64236135864e-05	2
(C,(D,((E,B),A)))	5.41356988651e-07	3
(C,(D,(B,(E,A))))	5.41356988651e-07	3
(E,(C,((D,B),A)))	0.000518519230879	2
((E,C),((D,B),A))	5.41356988651e-07	3
(C,(E,((D,B),A)))	5.41356988651e-07	3
(C,((E,(D,B)),A))	5.41356988651e-07	3
(C,(((E,D),B),A))	5.41356988651e-07	3
(C,((D,(E,B)),A))	5.41356988651e-07	3
(C,((D,B),(E,A)))	5.41356988651e-07	3
(E,(C,(B,(D,A))))	0.000518519230879	2
((E,C),(B,(D,A)))	5.41356988651e-07	3
(C,(E,(B,(D,A))))	5.41356988651e-07	3
(C,((E,B),(D,A)))	5.41356988651e-07	3
(C,(B,(E,(D,A))))	5.41356988651e-07	3
(C,(B,((E,D),A)))	5.41356988651e-07	3
(C,(B,(D,(E,A))))	5.41356988651e-07	3
(E,(D,((C,B),A)))	0.00987109375000	1
((E,D),((C,B),A))	5.41356988651e-07	2
(D,(E,((C,B),A)))	5.41356988651e-07	2
(D,((E,(C,B)),A))	5.41356988651e-07	3
(D,(((E,C),B),A))	5.41356988651e-07	3
(D,((C,(E,B)),A))	5.41356988651e-07	3
(D,((C,B),(E,A)))	5.41356988651e-07	3
(E,((D,(C,B)),A))	0.00987109375000	1
((E,(D,(C,B))),A)	5.41356988651e-07	2
(((E,D),(C,B)),A)	5.41356988651e-07	3
((D,(E,(C,B))),A)	5.41356988651e-07	3
((D,((E,C),B)),A)	5.41356988651e-07	3
((D,(C,(E,B))),A)	5.41356988651e-07	3
((D,(C,B)),(E,A))	5.41356988651e-07	2
(E,(((D,C),B),A))	0.375101562500	0
((E,((D,C),B)),A)	0.00774256490200	1
(((E,(D,C)),B),A)	6.64236135864e-05	2
((((E,D),C),B),A)	5.41356988651e-07	3
(((D,(E,C)),B),A)	5.41356988651e-07	3
(((D,C),(E,B)),A)	6.64236135864e-05	2
(((D,C),B),(E,A))	0.00774256490200	1
(E,((C,(D,B)),A))	0.00987109375000	1
((E,(C,(D,B))),A)	5.41356988651e-07	2
(((E,C),(D,B)),A)	5.41356988651e-07	3
((C,(E,(D,B))),A)	5.41356988651e-07	3
((C,((E,D),B)),A)	5.41356988651e-07	3
((C,(D,(E,B))),A)	5.41356988651e-07	3
((C,(D,B)),(E,A))	5.41356988651e-07	2
(E,((C,B),(D,A)))	0.000518519230879	2
((E,(C,B)),(D,A))	5.41356988651e-07	3
(((E,C),B),(D,A))	5.41356988651e-07	3
((C,(E,B)),(D,A))	5.41356988651e-07	3
((C,B),(E,(D,A)))	5.41356988651e-07	3
((C,B),((E,D),A))	5.41356988651e-07	3
((C,B),(D,(E,A)))	5.41356988651e-07	3
(E,(D,(B,(C,A))))	0.00987109375000	1
((E,D),(B,(C,A)))	5.41356988651e-07	2
(D,(E,(B,(C,A))))	5.41356988651e-07	2
(D,((E,B),(C,A)))	5.41356988651e-07	3
(D,(B,(E,(C,A))))	5.41356988651e-07	3
(D,(B,((E,C),A)))	5.41356988651e-07	3
(D,(B,(C,(E,A))))	5.41356988651e-07	3
(E,((D,B),(C,A)))	0.000518519230879	2
((E,(D,B)),(C,A))	5.41356988651e-07	3
(((E,D),B),(C,A))	5.41356988651e-07	3
((D,(E,B)),(C,A))	5.41356988651e-07	3
((D,B),(E,(C,A)))	5.41356988651e-07	3
((D,B),((E,C),A))	5.41356988651e-07	3
((D,B),(C,(E,A)))	5.41356988651e-07	3
(E,(B,(D,(C,A))))	0.000518519230879	2
((E,B),(D,(C,A)))	5.41356988651e-07	3
(B,(E,(D,(C,A))))	5.41356988651e-07	3
(B,((E,D),(C,A)))	5.41356988651e-07	3
(B,(D,(E,(C,A))))	5.41356988651e-07	3
(B,(D,((E,C),A)))	5.41356988651e-07	3
(B,(D,(C,(E,A))))	5.41356988651e-07	3
(E,(B,((D,C),A)))	0.0221944423074	1
((E,B),((D,C),A))	6.64236135864e-05	2
(B,(E,((D,C),A)))	6.64236135864e-05	2
(B,((E,(D,C)),A))	6.64236135864e-05	2
(B,(((E,D),C),A))	5.41356988651e-07	3
(B,((D,(E,C)),A))	5.41356988651e-07	3
(B,((D,C),(E,A)))	6.64236135864e-05	2
(E,(B,(C,(D,A))))	0.000518519230879	2
((E,B),(C,(D,A)))	5.41356988651e-07	3
(B,(E,(C,(D,A))))	5.41356988651e-07	3
(B,((E,C),(D,A)))	5.41356988651e-07	3
(B,(C,(E,(D,A))))	5.41356988651e-07	3
(B,(C,((E,D),A)))	5.41356988651e-07	3
(B,(C,(D,(E,A))))	5.41356988651e-07	3
