newick	prob	novel
(E,(D,(C,(B,A))))	0.857375000000	0
((E,D),(C,(B,A)))	0.0210224882301	1
(D,(E,(C,(B,A))))	0.0210224882301	1
(D,((E,C),(B,A)))	0.000489689763309	2
(D,(C,(E,(B,A))))	0.000489689763309	2
(D,(C,((E,B),A)))	1.08363129322e-05	3
(D,(C,(B,(E,A))))	1.08363129322e-05	3
(E,((D,C),(B,A)))	0.0213507627822	1
((E,(D,C)),(B,A))	0.000489689763309	2
(((E,D),C),(B,A))	0.000489689763309	2
((D,(E,C)),(B,A))	0.000489689763309	2
((D,C),(E,(B,A)))	0.000489689763309	2
((D,C),((E,B),A))	1.08363129322e-05	3
((D,C),(B,(E,A)))	1.08363129322e-05	3
(E,(C,(D,(B,A))))	0.0213507627822	1
((E,C),(D,(B,A)))	0.000489689763309	2
(C,(E,(D,(B,A))))	0.000489689763309	2
(C,((E,D),(B,A)))	0.000489689763309	2
(C,(D,(E,(B,A))))	0.000489689763309	2
(C,(D,((E,B),A)))	1.08363129322e-05	3
(C,(D,(B,(E,A))))	1.08363129322e-05	3
(E,(C,((D,B),A)))	0.000479847443560	2
((E,C),((D,B),A))	1.08363129322e-05	3
(C,(E,((D,B),A)))	1.08363129322e-05	3
(C,((E,(D,B)),A))	1.08363129322e-05	3
(C,(((E,D),B),A))	1.08363129322e-05	3
(C,((D,(E,B)),A))	1.08363129322e-05	3
(C,((D,B),(E,A)))	1.08363129322e-05	3
(E,(C,(B,(D,A))))	0.000479847443560	2
((E,C),(B,(D,A)))	1.08363129322e-05	3
(C,(E,(B,(D,A))))	1.08363129322e-05	3
(C,((E,B),(D,A)))	1.08363129322e-05	3
(C,(B,(E,(D,A))))	1.08363129322e-05	3
(C,(B,((E,D),A)))	1.08363129322e-05	3
(C,(B,(D,(E,A))))	1.08363129322e-05	3
(E,(D,((C,B),A)))	0.0225625000000	1
((E,D),((C,B),A))	1.08363129322e-05	2
(D,(E,((C,B),A)))	1.08363129322e-05	2
(D,((E,(C,B)),A))	1.08363129322e-05	3
(D,(((E,C),B),A))	1.08363129322e-05	3
(D,((C,(E,B)),A))	1.08363129322e-05	3
(D,((C,B),(E,A)))	1.08363129322e-05	3
(E,((D,(C,B)),A))	0.000479847443560	2
((E,(D,(C,B))),A)	1.08363129322e-05	3
(((E,D),(C,B)),A)	1.08363129322e-05	3
((D,(E,(C,B))),A)	1.08363129322e-05	3
((D,((E,C),B)),A)	1.08363129322e-05	3
((D,(C,(E,B))),A)	1.08363129322e-05	3
((D,(C,B)),(E,A))	1.08363129322e-05	3
(E,(((D,C),B),A))	0.000479847443560	2
((E,((D,C),B)),A)	1.08363129322e-05	3
(((E,(D,C)),B),A)	1.08363129322e-05	3
((((E,D),C),B),A)	1.08363129322e-05	3
(((D,(E,C)),B),A)	1.08363129322e-05	3
(((D,C),(E,B)),A)	1.08363129322e-05	3
(((D,C),B),(E,A))	1.08363129322e-05	3
(E,((C,(D,B)),A))	0.000479847443560	2
((E,(C,(D,B))),A)	1.08363129322e-05	3
(((E,C),(D,B)),A)	1.08363129322e-05	3
((C,(E,(D,B))),A)	1.08363129322e-05	3
((C,((E,D),B)),A)	1.08363129322e-05	3
((C,(D,(E,B))),A)	1.08363129322e-05	3
((C,(D,B)),(E,A))	1.08363129322e-05	3
(E,((C,B),(D,A)))	0.000479847443560	2
((E,(C,B)),(D,A))	1.08363129322e-05	3
(((E,C),B),(D,A))	1.08363129322e-05	3
((C,(E,B)),(D,A))	1.08363129322e-05	3
((C,B),(E,(D,A)))	1.08363129322e-05	3
((C,B),((E,D),A))	1.08363129322e-05	3
((C,B),(D,(E,A)))	1.08363129322e-05	3
(E,(D,(B,(C,A))))	0.0225625000000	1
((E,D),(B,(C,A)))	1.08363129322e-05	2
(D,(E,(B,(C,A))))	1.08363129322e-05	2
(D,((E,B),(C,A)))	1.08363129322e-05	3
(D,(B,(E,(C,A))))	1.08363129322e-05	3
(D,(B,((E,C),A)))	1.08363129322e-05	3
(D,(B,(C,(E,A))))	1.08363129322e-05	3
(E,((D,B),(C,A)))	0.000479847443560	2
((E,(D,B)),(C,A))	1.08363129322e-05	3
(((E,D),B),(C,A))	1.08363129322e-05	3
((D,(E,B)),(C,A))	1.08363129322e-05	3
((D,B),(E,(C,A)))	1.08363129322e-05	3
((D,B),((E,C),A))	1.08363129322e-05	3
((D,B),(C,(E,A)))	1.08363129322e-05	3
(E,(B,(D,(C,A))))	0.000479847443560	2
((E,B),(D,(C,A)))	1.08363129322e-05	3
(B,(E,(D,(C,A))))	1.08363129322e-05	3
(B,((E,D),(C,A)))	1.08363129322e-05	3
(B,(D,(E,(C,A))))	1.08363129322e-05	3
(B,(D,((E,C),A)))	1.08363129322e-05	3
(B,(D,(C,(E,A))))	1.08363129322e-05	3
(E,(B,((D,C),A)))	0.000479847443560	2
((E,B),((D,C),A))	1.08363129322e-05	3
(B,(E,((D,C),A)))	1.08363129322e-05	3
(B,((E,(D,C)),A))	1.08363129322e-05	3
(B,(((E,D),C),A))	1.08363129322e-05	3
(B,((D,(E,C)),A))	1.08363129322e-05	3
(B,((D,C),(E,A)))	1.08363129322e-05	3
(E,(B,(C,(D,A))))	0.000479847443560	2
((E,B),(C,(D,A)))	1.08363129322e-05	3
(B,(E,(C,(D,A))))	1.08363129322e-05	3
(B,((E,C),(D,A)))	1.08363129322e-05	3
(B,(C,(E,(D,A))))	1.08363129322e-05	3
(B,(C,((E,D),A)))	1.08363129322e-05	3
(B,(C,(D,(E,A))))	1.08363129322e-05	3
