newick	prob	novel
(F,(E,(D,(C,(B,A)))))	0.00238287201622	1
((F,E),(D,(C,(B,A))))	0.375101562500	0
(E,(F,(D,(C,(B,A)))))	0.00238287201622	1
(E,((F,D),(C,(B,A))))	3.45998729081e-05	2
(E,(D,(F,(C,(B,A)))))	3.45998729081e-05	2
(E,(D,((F,C),(B,A))))	2.19799321463e-07	3
(E,(D,(C,(F,(B,A)))))	2.19799321463e-07	3
(E,(D,(C,((F,B),A))))	1.32648332992e-09	4
(E,(D,(C,(B,(F,A)))))	1.32648332992e-09	4
(F,((E,D),(C,(B,A))))	3.45998729081e-05	2
((F,(E,D)),(C,(B,A)))	3.45998729081e-05	2
(((F,E),D),(C,(B,A)))	0.00573322590368	1
((E,(F,D)),(C,(B,A)))	3.45998729081e-05	2
((E,D),(F,(C,(B,A))))	3.45998729081e-05	2
((E,D),((F,C),(B,A)))	2.19799321463e-07	3
((E,D),(C,(F,(B,A))))	2.19799321463e-07	3
((E,D),(C,((F,B),A)))	1.32648332992e-09	4
((E,D),(C,(B,(F,A))))	1.32648332992e-09	4
(F,(D,(E,(C,(B,A)))))	3.45998729081e-05	2
((F,D),(E,(C,(B,A))))	3.45998729081e-05	2
(D,(F,(E,(C,(B,A)))))	3.45998729081e-05	2
(D,((F,E),(C,(B,A))))	0.00573322590368	1
(D,(E,(F,(C,(B,A)))))	3.45998729081e-05	2
(D,(E,((F,C),(B,A))))	2.19799321463e-07	3
(D,(E,(C,(F,(B,A)))))	2.19799321463e-07	3
(D,(E,(C,((F,B),A))))	1.32648332992e-09	4
(D,(E,(C,(B,(F,A)))))	1.32648332992e-09	4
(F,(D,((E,C),(B,A))))	2.19799321463e-07	3
((F,D),((E,C),(B,A)))	2.19799321463e-07	3
(D,(F,((E,C),(B,A))))	2.19799321463e-07	3
(D,((F,(E,C)),(B,A)))	2.19799321463e-07	3
(D,(((F,E),C),(B,A)))	3.64209188506e-05	2
(D,((E,(F,C)),(B,A)))	2.19799321463e-07	3
(D,((E,C),(F,(B,A))))	2.19799321463e-07	3
(D,((E,C),((F,B),A)))	1.32648332992e-09	4
(D,((E,C),(B,(F,A))))	1.32648332992e-09	4
(F,(D,(C,(E,(B,A)))))	2.19799321463e-07	3
((F,D),(C,(E,(B,A))))	2.19799321463e-07	3
(D,(F,(C,(E,(B,A)))))	2.19799321463e-07	3
(D,((F,C),(E,(B,A))))	2.19799321463e-07	3
(D,(C,(F,(E,(B,A)))))	2.19799321463e-07	3
(D,(C,((F,E),(B,A))))	3.64209188506e-05	2
(D,(C,(E,(F,(B,A)))))	2.19799321463e-07	3
(D,(C,(E,((F,B),A))))	1.32648332992e-09	4
(D,(C,(E,(B,(F,A)))))	1.32648332992e-09	4
(F,(D,(C,((E,B),A))))	1.32648332992e-09	4
((F,D),(C,((E,B),A)))	1.32648332992e-09	4
(D,(F,(C,((E,B),A))))	1.32648332992e-09	4
(D,((F,C),((E,B),A)))	1.32648332992e-09	4
(D,(C,(F,((E,B),A))))	1.32648332992e-09	4
(D,(C,((F,(E,B)),A)))	1.32648332992e-09	4
