model	sampleSize	rep	alpha	mu
kreg	300	1	0.400000	0.009533
kreg	300	2	0.400000	0.004163
kreg	300	3	0.400000	0.003384
kreg	300	4	0.400000	0.004617
kreg	300	5	0.400000	0.002751
kreg	300	6	0.400000	0.002480
kreg	300	7	0.400000	0.003051
kreg	300	8	0.400000	0.003051
kreg	300	9	0.400000	0.007750
kreg	300	10	0.400000	0.002016
kreg	300	11	0.400000	0.001332
kreg	300	12	0.400000	0.024215
kreg	300	13	0.400000	0.040645
kreg	300	14	0.400000	0.003753
kreg	300	15	0.400000	0.005680
kreg	300	16	0.400000	0.005121
kreg	300	17	0.400000	0.024215
kreg	300	18	0.400000	0.001083
kreg	300	19	0.400000	0.001639
kreg	300	20	0.400000	0.005121
kreg	300	21	0.400000	0.003051
kreg	300	22	0.400000	0.005680
kreg	300	23	0.400000	0.007750
kreg	300	24	0.400000	0.001478
kreg	300	25	0.400000	0.004163
kreg	300	26	0.400000	0.016001
kreg	300	27	0.400000	0.003384
kreg	300	28	0.400000	0.001083
kreg	300	29	0.400000	0.011728
kreg	300	30	0.400000	0.005680
kreg	300	31	0.400000	0.013007
kreg	300	32	0.400000	0.005680
kreg	300	33	0.400000	0.019685
kreg	300	34	0.400000	0.001201
kreg	300	35	0.400000	0.006987
kreg	300	36	0.400000	0.003384
kreg	300	37	0.400000	0.003753
kreg	300	38	0.400000	0.008595
kreg	300	39	0.400000	0.006987
kreg	300	40	0.400000	0.004163
kreg	300	41	0.400000	0.003051
kreg	300	42	0.400000	0.007750
kreg	300	43	0.400000	0.001332
kreg	300	44	0.400000	0.001818
kreg	300	45	0.400000	0.050000
kreg	300	46	0.400000	0.014427
kreg	300	47	0.400000	0.004163
kreg	300	48	0.400000	0.005121
kreg	300	49	0.400000	0.001818
kreg	300	50	0.400000	0.004617
kreg	300	51	0.400000	0.002751
kreg	300	52	0.400000	0.001818
kreg	300	53	0.400000	0.003051
kreg	300	54	0.400000	0.008595
kreg	300	55	0.400000	0.029789
kreg	300	56	0.400000	0.005680
kreg	300	57	0.400000	0.008595
kreg	300	58	0.400000	0.019685
kreg	300	59	0.400000	0.005121
kreg	300	60	0.400000	0.003051
kreg	300	61	0.400000	0.001818
kreg	300	62	0.400000	0.002016
kreg	300	63	0.400000	0.006300
kreg	300	64	0.400000	0.002236
kreg	300	65	0.400000	0.005121
kreg	300	66	0.400000	0.005680
kreg	300	67	0.400000	0.004617
kreg	300	68	0.400000	0.001639
kreg	300	69	0.400000	0.006300
kreg	300	70	0.400000	0.005680
kreg	300	71	0.400000	0.006987
kreg	300	72	0.400000	0.003384
kreg	300	73	0.400000	0.004163
kreg	300	74	0.400000	0.006987
kreg	300	75	0.400000	0.002236
kreg	300	76	0.400000	0.002236
kreg	300	77	0.400000	0.004617
kreg	300	78	0.400000	0.003051
kreg	300	79	0.400000	0.002480
kreg	300	80	0.400000	0.002480
kreg	300	81	0.400000	0.007750
kreg	300	82	0.400000	0.005680
kreg	300	83	0.400000	0.004617
kreg	300	84	0.400000	0.002480
kreg	300	85	0.400000	0.016001
kreg	300	86	0.400000	0.002236
kreg	300	87	0.400000	0.006300
kreg	300	88	0.400000	0.005680
kreg	300	89	0.400000	0.002751
kreg	300	90	0.400000	0.007750
kreg	300	91	0.400000	0.009533
kreg	300	92	0.400000	0.002236
kreg	300	93	0.400000	0.007750
kreg	300	94	0.400000	0.010574
kreg	300	95	0.400000	0.010574
kreg	300	96	0.400000	0.005680
kreg	300	97	0.400000	0.007750
kreg	300	98	0.400000	0.011728
kreg	300	99	0.400000	0.002480
kreg	300	100	0.400000	0.002236
kreg	1000	1	0.400000	0.003384
kreg	1000	2	0.400000	0.000880
kreg	1000	3	0.400000	0.001639
kreg	1000	4	0.400000	0.001639
kreg	1000	5	0.400000	0.001478
kreg	1000	6	0.400000	0.000582
kreg	1000	7	0.400000	0.001332
kreg	1000	8	0.400000	0.001201
kreg	1000	9	0.400000	0.004163
kreg	1000	10	0.400000	0.000347
kreg	1000	11	0.400000	0.000384
kreg	1000	12	0.400000	0.007750
kreg	1000	13	0.400000	0.017748
kreg	1000	14	0.400000	0.001201
kreg	1000	15	0.400000	0.002236
kreg	1000	16	0.400000	0.001818
kreg	1000	17	0.400000	0.010574
kreg	1000	18	0.400000	0.000716
kreg	1000	19	0.400000	0.000524
kreg	1000	20	0.400000	0.002236
kreg	1000	21	0.400000	0.001201
kreg	1000	22	0.400000	0.002236
kreg	1000	23	0.400000	0.002751
kreg	1000	24	0.400000	0.000880
kreg	1000	25	0.400000	0.001201
kreg	1000	26	0.400000	0.005680
kreg	1000	27	0.400000	0.001201
kreg	1000	28	0.400000	0.000582
kreg	1000	29	0.400000	0.003753
kreg	1000	30	0.400000	0.001478
kreg	1000	31	0.400000	0.005121
kreg	1000	32	0.400000	0.002236
kreg	1000	33	0.400000	0.009533
kreg	1000	34	0.400000	0.000716
kreg	1000	35	0.400000	0.002480
kreg	1000	36	0.400000	0.000582
kreg	1000	37	0.400000	0.001083
kreg	1000	38	0.400000	0.002480
kreg	1000	39	0.400000	0.002480
kreg	1000	40	0.400000	0.001332
kreg	1000	41	0.400000	0.001332
kreg	1000	42	0.400000	0.002751
kreg	1000	43	0.400000	0.000384
kreg	1000	44	0.400000	0.001083
kreg	1000	45	0.400000	0.024215
kreg	1000	46	0.400000	0.003753
kreg	1000	47	0.400000	0.001332
kreg	1000	48	0.400000	0.001478
kreg	1000	49	0.400000	0.000880
kreg	1000	50	0.400000	0.002016
kreg	1000	51	0.400000	0.001083
kreg	1000	52	0.400000	0.000254
kreg	1000	53	0.400000	0.000976
kreg	1000	54	0.400000	0.002480
kreg	1000	55	0.400000	0.011728
kreg	1000	56	0.400000	0.001478
kreg	1000	57	0.400000	0.002751
kreg	1000	58	0.400000	0.007750
kreg	1000	59	0.400000	0.001639
kreg	1000	60	0.400000	0.001639
kreg	1000	61	0.400000	0.000312
kreg	1000	62	0.400000	0.000880
kreg	1000	63	0.400000	0.001639
kreg	1000	64	0.400000	0.001201
kreg	1000	65	0.400000	0.000880
kreg	1000	66	0.400000	0.001818
kreg	1000	67	0.400000	0.001332
kreg	1000	68	0.400000	0.001083
kreg	1000	69	0.400000	0.003384
kreg	1000	70	0.400000	0.001332
kreg	1000	71	0.400000	0.004163
kreg	1000	72	0.400000	0.001083
kreg	1000	73	0.400000	0.000976
kreg	1000	74	0.400000	0.003051
kreg	1000	75	0.400000	0.000716
kreg	1000	76	0.400000	0.001083
kreg	1000	77	0.400000	0.001478
kreg	1000	78	0.400000	0.002480
kreg	1000	79	0.400000	0.000716
kreg	1000	80	0.400000	0.001332
kreg	1000	81	0.400000	0.002751
kreg	1000	82	0.400000	0.001478
kreg	1000	83	0.400000	0.001478
kreg	1000	84	0.400000	0.000880
kreg	1000	85	0.400000	0.006300
kreg	1000	86	0.400000	0.001201
kreg	1000	87	0.400000	0.002236
kreg	1000	88	0.400000	0.002236
kreg	1000	89	0.400000	0.001332
