model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
mreg	300	0.000000	0.050000	1645	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.050000	0.100000	1667	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.100000	0.150000	1558	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.150000	0.200000	1632	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.200000	0.250000	1569	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.250000	0.300000	1598	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.300000	0.350000	1560	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.350000	0.400000	1492	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.400000	0.450000	1476	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.450000	0.500000	1465	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.500000	0.550000	1437	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.550000	0.600000	1512	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.600000	0.650000	1417	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.650000	0.700000	1362	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.700000	0.750000	1338	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.750000	0.800000	1348	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.800000	0.850000	1296	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.850000	0.900000	1345	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.900000	0.950000	1419	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	300	0.950000	1.000000	1864	1500.000000	249.082667	0.00000	0.025193	2.24709e-13	0.073667	30000	0
mreg	1000	0.000000	0.050000	5454	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.050000	0.100000	5457	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.100000	0.150000	5354	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.150000	0.200000	5316	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.200000	0.250000	5318	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.250000	0.300000	5226	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.300000	0.350000	5108	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.350000	0.400000	5127	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.400000	0.450000	5087	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.450000	0.500000	4971	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.500000	0.550000	5004	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.550000	0.600000	4806	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.600000	0.650000	4793	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.650000	0.700000	4644	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.700000	0.750000	4446	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.750000	0.800000	4577	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.800000	0.850000	4407	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.850000	0.900000	4431	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.900000	0.950000	4444	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	1000	0.950000	1.000000	6030	5000.000000	713.413600	0.00000	0.025340	1.24800e-12	0.069620	100000	0
mreg	3000	0.000000	0.050000	16074	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.050000	0.100000	15882	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.100000	0.150000	15739	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.150000	0.200000	15766	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.200000	0.250000	15790	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.250000	0.300000	15521	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.300000	0.350000	15440	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.350000	0.400000	15260	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.400000	0.450000	15114	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.450000	0.500000	15080	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.500000	0.550000	14797	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.550000	0.600000	14719	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.600000	0.650000	14672	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
